{'question': 'Chatbot của bạn có những tính năng gì đặc biệt?', 'intent': 'feature_inquiry'}
{'question': 'Tính năng nổi bật của chatbot là gì?', 'intent': 'feature_inquiry'}
{'question': 'Bạn có thể mô tả về những tính năng chính của chatbot không?', 'intent': 'feature_inquiry'}
{'question': 'Chatbot này được tạo ra với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Sứ mệnh của chatbot là gì?', 'intent': 'creation_reason'}
{'question': 'Tại sao bạn phát triển chatbot này?', 'intent': 'creation_reason'}
{'question': 'Người tạo ra chatbot có mục đích gì khi phát triển nó?', 'intent': 'creation_reason'}
{'question': 'Nhiệm vụ của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Bạn có thể giúp tôi những gì?', 'intent': 'creation_reason'}
{'question': 'Công dụng chính của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Ai là người sáng tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Tính năng đặc biệt nào mà chatbot của bạn có?', 'intent': 'features'}
{'question': 'Bạn được tạo ra như thế nào?', 'intent': 'creation_reason'}
{'question': 'Bạn là ai?', 'intent': 'creation_reason'}
{'question': 'Bạn được phát triển để làm gì?', 'intent': 'creation_reason'}
{'question': 'Ai đã tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Làm thế nào bạn hoạt động?', 'intent': 'functionality'}
{'question': 'Bạn có thể giúp tôi như thế nào?', 'intent': 'help'}
{'question': 'Chatbot của bạn có khả năng học hỏi không?', 'intent': 'learning_ability'}
{'question': 'Chatbot của bạn có công dụng chính là gì?', 'intent': 'main_purpose'}
{'question': 'Bạn có thể tự giới thiệu về bản thân không?', 'intent': 'introduction'}
{'question': 'Có những ứng dụng cụ thể nào mà bạn có thể hỗ trợ?', 'intent': 'specific_applications'}
{'question': 'Có những tính năng nổi bật nào của bạn?', 'intent': 'feature_inquiry'}
{'question': 'Hệ thống chatbot của bạn có những tính năng nổi bật nào?', 'intent': 'feature_inquiry'}
{'question': 'Tính năng đặc biệt của chatbot là gì?', 'intent': 'feature_inquiry'}
{'question': 'Chatbot của bạn có những khả năng gì đặc sắc?', 'intent': 'feature_inquiry'}
{'question': 'Chatbot có thể giúp tôi như thế nào?', 'intent': 'help_capability'}
{'question': 'Nhiệm vụ chính của chatbot là gì?', 'intent': 'mission_inquiry'}
{'question': 'Chatbot được phát triển để thực hiện công việc gì?', 'intent': 'mission_inquiry'}
{'question': 'Sứ mệnh của hệ thống chatbot là gì?', 'intent': 'mission_inquiry'}
{'question': 'Người tạo ra chatbot là ai?', 'intent': 'identity_inquiry'}
{'question': 'Có ai phát triển chatbot này không?', 'intent': 'identity_inquiry'}
{'question': 'Bạn có khả năng học hỏi không?', 'intent': 'creation_reason'}
{'question': 'Làm thế nào bạn đã được tạo ra?', 'intent': 'creation_process'}
{'question': 'Chatbot của bạn được phát triển để làm gì?', 'intent': 'creation_reason'}
{'question': 'Bạn có những khả năng gì đặc sắc?', 'intent': 'special_capabilities'}
{'question': 'Bạn làm được những gì?', 'intent': 'capabilities'}
{'question': 'Bạn đang làm gì?', 'intent': 'creation_reason'}
{'question': 'Tính năng chính của bạn là gì?', 'intent': 'features'}
{'question': 'Chatbot có tính năng nổi bật gì?', 'intent': 'features'}
{'question': 'Tính năng đặc biệt của bạn là gì?', 'intent': 'features'}
{'question': 'Người sáng tạo ra bạn là ai?', 'intent': 'creation_reason'}
{'question': 'Có người nào phát triển chatbot này không?', 'intent': 'creation_reason'}
{'question': 'Tác giả của bạn là ai?', 'intent': 'creation_reason'}
{'question': 'Bạn được phát triển bởi đội nào?', 'intent': 'creation_reason'}
